species,replicate,location,Date,T,ww.h,height,sa.ww
Actinotrichia fragilis,1,Sailing School,7/20/21,37.1,1.059183674,4.9,4.573217726
Actinotrichia fragilis,2,Sailing School,7/20/21,47.1,0.824242424,3.3,5.433088235
Actinotrichia fragilis,3,Sailing School,7/20/21,28.9,1.279452056,7.3,3.542933619
Actinotrichia fragilis,4,Sailing School,7/20/21,44.8,0.194339623,5.3,10.28834951
Actinotrichia fragilis,5,Sailing School,7/20/21,45.9,0.423636364,5.5,7.307296137
Amansia rhodantha,1,Hilton,7/18/21,33.5,0.147058824,6.8,21.473
Amansia rhodantha,2,Hilton,7/18/21,28.5,0.539473684,7.6,10.64146341
Amansia rhodantha,3,Hilton,7/18/21,26.5,0.164383562,7.3,14.80833333
Amansia rhodantha,4,Hilton,7/18/21,27.2,2.088607594,7.9,5.259636364
Amansia rhodantha,5,Hilton,7/18/21,9.5,0.208333333,2.4,13.5
Amphiroa fragilissima,1,Hilton,7/18/21,40.1,2.451612902,3.1,3.322763158
Amphiroa fragilissima,2,Hilton,7/18/21,43.1,0.833333333,5.4,5.277333333
Amphiroa fragilissima,3,Hilton,7/18/21,36.6,2.405797099,6.9,3.861024096
Amphiroa fragilissima,4,Hilton,7/19/21,46.1,1.767647058,6.8,4.063810316
Amphiroa fragilissima,5,Hilton,7/19/21,57.6,2.031746032,6.3,3.6928125
Asparagopsis taxiformis,1,MRB,7/26/21,2,0.205172414,11.6,6.500420168
Asparagopsis taxiformis,2,MRB,7/26/21,2,0.15443038,7.9,9.249180328
Asparagopsis taxiformis,3,MRB,7/26/21,2,0.252542373,5.9,5.820134228
Asparagopsis taxiformis,4,MRB,7/26/21,2,0.111956522,9.2,6.865048544
Asparagopsis taxiformis,5,MRB,7/26/21,2,0.26984127,6.3,6.419411765
Caulerpa racemosa,1,Hilton,7/19/21,10,0.325,7.6,5.409311741
Caulerpa racemosa,2,Hilton,7/24/21,6.5,0.058426966,8.9,8.903846154
Caulerpa racemosa,3,Hilton,7/24/21,5.2,0.127272727,4.4,6.408928571
Caulerpa racemosa,4,Hilton,7/24/21,8,0.061538462,3.9,6.591666667
Caulerpa racemosa,5,Hilton,7/24/21,8.2,0.053658537,4.1,5.795454545
Chlorodesmis fastigiata,1,MRB,7/26/21,2,0.3,3.4,3.169607843
Chlorodesmis fastigiata,2,MRB,7/26/21,2,0.252173913,2.3,2.934482759
Chlorodesmis fastigiata,3,MRB,7/26/21,2,0.11,2,4.268181818
Chlorodesmis fastigiata,4,MRB,7/26/21,2,0.248,2.5,3.541935484
Chlorodesmis fastigiata,5,MRB,7/26/21,2,0.494736842,1.9,2.612765957
Chnoospora implexa,3,Sailing School,7/20/21,30.6,1.180864198,16.2,1.868374281
Chnoospora implexa,4,Sailing School,7/20/21,21.5,0.415116279,8.6,3.196638655
Chnoospora implexa,5,Sailing School,7/20/21,27,0.261290323,6.2,84.97962963
Chnoospora implexa,1,Sailing School,7/20/21,18.7,0.538157895,7.6,9.831295844
Chnoospora implexa,2,Gump,7/23/21,2,0.579310345,2.9,9.443452381
Cladophoropsis membranacea,1,Opunohu,7/28/21,2,0.46875,3.2,3.076
Cladophoropsis membranacea,2,Opunohu,7/28/21,2,0.276190476,2.1,3.682758621
Cladophoropsis membranacea,3,Opunohu,7/28/21,2,0.152631579,1.9,4.844827586
Cladophoropsis membranacea,4,Opunohu,7/28/21,2,0.841666667,1.2,3.56039604
Cladophoropsis membranacea,5,Opunohu,7/28/21,2,0.269230769,1.3,4.248571429
Dichotomaria marginata,1,Hilton,7/19/21,10.1,0.510465116,8.6,10.00865604
Dichotomaria marginata,2,Hilton,7/19/21,19,3.326356589,12.9,4.441249126
Dichotomaria marginata,3,Hilton,7/19/21,12,0.364912281,5.7,7.572596154
Dichotomaria marginata,4,Hilton,7/19/21,17.6,0.386585366,8.2,9.845425868
Dichotomaria marginata,5,Hilton,7/19/21,12.1,0.180357143,5.6,13.41287129
Dictyota bartayresiana,1,Hilton,7/17/21,9.5,0.492537314,6.7,11.13181818
Dictyota bartayresiana,2,Hilton,7/17/21,9.9,0.513157895,7.6,11.49025641
Dictyota bartayresiana,3,Hilton,7/17/21,12,1.532110091,10.9,8.02760479
Dictyota bartayresiana,4,Hilton,7/17/21,7.8,0.428571429,6.3,10.24555556
Dictyota bartayresiana,5,Hilton,7/17/21,8.6,1.131313132,9.9,7.854821429
Galaxaura filamentosa,1,Hilton,7/16/21,17.8,8.157894748,3.8,0.914709677
Galaxaura filamentosa,2,Hilton,7/16/21,13.7,5.520833348,4.8,1.444415094
Galaxaura filamentosa,3,Hilton,7/16/21,10.1,6.476190464,2.1,1.657132353
Galaxaura filamentosa,4,Hilton,7/16/21,16.6,1.913043477,2.3,3.093181818
Galaxaura filamentosa,5,Hilton,7/16/21,5.5,3.547619043,4.2,1.474496644
Galaxaura rugosa,1,Hilton,7/15/21,7.52,7.114473696,7.6,1.377251711
Galaxaura rugosa,2,Hilton,7/15/21,10.6,1.996874998,6.4,2.290688576
Galaxaura rugosa,3,Hilton,7/15/21,19.91,2.142424242,9.9,3.025601132
Galaxaura rugosa,4,Hilton,7/15/21,8.49,0.880519481,7.7,3.271976401
Galaxaura rugosa,5,Hilton,7/15/21,23.59,2.235227271,8.8,2.839247585
Halimeda discoidea,1,Gump,7/23/21,67.8,0.336585366,4.1,5.023913043
Halimeda discoidea,2,Gump,7/23/21,13.3,1.672881357,5.9,2.50881459
Halimeda discoidea,3,Gump,7/23/21,10.7,0.497142857,3.5,4.05862069
Halimeda discoidea,4,Gump,7/23/21,94.5,0.384615385,2.6,3.483
Halimeda discoidea,5,Gump,7/23/21,157.3,0.281818182,3.3,4.553763441
Halimeda incrassata,1,Hilton,7/15/21,18.5,0.940298508,6.7,2.257619048
Halimeda incrassata,2,Hilton,7/15/21,49.1,1.290697674,8.6,3.115495495
Halimeda incrassata,3,Hilton,7/15/21,64.4,0.851851852,5.4,2.031304348
Halimeda incrassata,4,Hilton,7/15/21,33.4,0.855263158,7.6,2.081538462
Halimeda incrassata,5,Hilton,7/15/21,28.01,2.626229511,6.1,2.280274657
Halimeda minima,1,Gump,7/23/21,22.8,0.181818182,3.3,9.748333333
Halimeda minima,2,Gump,7/23/21,59.8,0.059016393,6.1,11.23333333
Halimeda minima,3,Gump,7/23/21,136.5,0.424590164,6.1,6.695366795
Halimeda minima,4,Gump,7/23/21,67.3,1.09137931,5.8,4.440600316
Halimeda minima,5,Gump,7/23/21,119,0.169565217,2.3,9.105128205
Halimeda opuntia,1,Hilton,7/16/21,17.4,1.468468469,11.1,3.621411043
Halimeda opuntia,2,Hilton,7/16/21,76.7,2.132352942,13.6,2.232551724
Halimeda opuntia,3,Hilton,7/16/21,129.3,2.695652173,13.8,2.199892473
Halimeda opuntia,4,Hilton,7/16/21,31,4.33802816,14.2,2.093538961
Halimeda opuntia,5,Hilton,7/16/21,92.3,1.447552448,14.3,3.104299517
Lobophora variegata,1,Gump,7/21/21,56.7,0.183333333,3,7.249090909
Lobophora variegata,2,Gump,7/21/21,17.4,0.090625,3.2,19.03793103
Lobophora variegata,3,Gump,7/21/21,10,0.225,1.6,7.291666667
Lobophora variegata,4,Gump,7/21/21,12.5,0.003125,1.6,340.2
Lobophora variegata,5,Gump,7/21/21,10.9,0.184090909,4.4,14.30493827
Microdictyon umbilicatum,1,Maharepa,7/24/21,2,0.023076923,5.2,39.2
Microdictyon umbilicatum,2,Hilton,7/24/21,2,0.003571429,1.4,98.6
Microdictyon umbilicatum,3,Hilton,7/24/21,2,0.005555556,0.9,60.8
Microdictyon umbilicatum,4,Hilton,7/24/21,2,0.00625,0.8,20.2
Microdictyon umbilicatum,5,Hilton,7/24/21,2,0.002380952,2.1,242
Peyssonnelia spp.,1,Hilton,7/24/21,38.6,0.066666667,2.1,18.43571429
Peyssonnelia spp.,2,Hilton,7/24/21,25.1,0.058823529,1.7,22.67
Phyllodictyon anastomosans,1,Hilton,7/24/21,2,0.026086957,2.3,37.63333333
Phyllodictyon anastomosans,2,Hilton,7/25/21,2,0.008333333,0.6,43.8
Phyllodictyon anastomosans,3,Hilton,7/25/21,2,0.05,1.2,40.55
Phyllodictyon anastomosans,4,Hilton,7/25/21,2,0.007142857,0.7,244.4
Phyllodictyon anastomosans,5,Hilton,7/25/21,2,0.045454545,1.1,17.12
Sargassum pacificum,1,Hilton,7/17/21,15.4,0.282511211,44.6,11.25492063
Sargassum pacificum,2,Hilton,7/17/21,11.8,1.374301677,17.9,5.065853659
Sargassum pacificum,3,Hilton,7/17/21,16.3,2.88888889,17.1,5.322267206
Sargassum pacificum,4,Hilton,7/17/21,18,1.124236252,49.1,8.666684783
Sargassum pacificum,5,Hilton,7/17/21,17.1,0.462365591,18.6,8.30627907
Turbinaria ornata,1,Sailing School,7/14/21,21,0.672727273,22,1.369324324
Turbinaria ornata,2,Sailing School,7/14/21,14.5,0.390625,12.8,3.3488
Turbinaria ornata,3,Sailing School,7/14/21,19.8,0.415730337,8.9,4.484054054
Turbinaria ornata,4,Sailing School,7/14/21,23.6,0.661764706,13.6,3.315333333
Turbinaria ornata,5,Hilton,7/15/21,23.7,0.995833334,24,2.534351464